Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:14,111443,804E78170,111443,804E78170,22.35,US Dollar,22.35,US Dollar,Reinvestment,0
2022/09/01 00:09,6075,8053E1AE0,2053,807CC37A0,113.42,US Dollar,113.42,US Dollar,Credit Card,0
2022/09/01 00:17,2053,807CC37A0,2053,807CC37A0,13.82,US Dollar,13.82,US Dollar,Reinvestment,0
2022/09/01 00:17,2053,807CC37A0,2053,807CC37A0,13.82,US Dollar,13.82,US Dollar,Reinvestment,0
2022/09/01 00:17,11030,80588ABC0,11030,80588ABC0,17173.82,US Dollar,17173.82,US Dollar,Reinvestment,0
2022/09/01 00:00,7478,8041DB780,7478,8041DB780,11061.1,US Dollar,11061.1,US Dollar,Reinvestment,0
2022/09/01 00:02,1588,8041DBC10,1588,8041DBC10,20.28,US Dollar,20.28,US Dollar,Reinvestment,0
2022/09/01 00:17,16136,804E51060,16136,804E51060,23.6,US Dollar,23.6,US Dollar,Reinvestment,0
2022/09/01 00:06,10614,804765300,10614,804765300,16427.5,US Dollar,16427.5,US Dollar,Reinvestment,0
2022/09/01 00:27,28255,804940A20,28255,804940A20,12.04,US Dollar,12.04,US Dollar,Reinvestment,0
2022/09/01 00:20,8595,805A30D70,8595,805A30D70,309.51,US Dollar,309.51,US Dollar,Reinvestment,0
2022/09/01 00:21,7042,8055B97B0,7042,8055B97B0,5370.81,US Dollar,5370.81,US Dollar,Reinvestment,0
2022/09/01 00:05,16136,80484E640,16136,80484E640,801485.34,US Dollar,801485.34,US Dollar,Reinvestment,0
2022/09/01 00:24,111764,805100210,111764,805100210,2563.91,US Dollar,2563.91,US Dollar,Reinvestment,0
2022/09/01 00:09,25075,8041CED00,25075,8041CED00,15997.31,US Dollar,15997.31,US Dollar,Reinvestment,0
2022/09/01 00:13,25075,8041CED00,28693,805594380,148959.06,US Dollar,148959.06,US Dollar,Cheque,0
2022/09/01 00:00,7478,804D49890,7478,804D49890,15.43,US Dollar,15.43,US Dollar,Reinvestment,0
2022/09/01 00:14,2053,804E9B910,2053,804E9B910,11.87,US Dollar,11.87,US Dollar,Reinvestment,0
2022/09/01 00:06,6075,805312000,6075,805312000,1119841.63,US Dollar,1119841.63,US Dollar,Reinvestment,0
2022/09/01 00:05,6075,805312000,6075,805312000,21.58,US Dollar,21.58,US Dollar,Reinvestment,0
2022/09/01 00:05,6075,805312000,6075,805312000,21.58,US Dollar,21.58,US Dollar,Reinvestment,0
2022/09/01 00:23,27444,804EE5EB0,27444,804EE5EB0,7265.05,US Dollar,7265.05,US Dollar,Reinvestment,0
2022/09/01 00:02,513,804E57AF0,513,804E57AF0,142927.22,US Dollar,142927.22,US Dollar,Reinvestment,0
2022/09/01 00:02,11107,804939740,11107,804939740,23.78,US Dollar,23.78,US Dollar,Reinvestment,0
2022/09/01 00:02,3437,804B1ED60,3437,804B1ED60,5920.6,US Dollar,5920.6,US Dollar,Reinvestment,0
2022/09/01 00:29,33780,805176840,33780,805176840,6180.13,US Dollar,6180.13,US Dollar,Reinvestment,0
2022/09/01 00:25,23402,8041CEFF0,23402,8041CEFF0,13.81,US Dollar,13.81,US Dollar,Reinvestment,0
2022/09/01 00:17,10,803CE2690,10,803CE2690,535.06,US Dollar,535.06,US Dollar,Reinvestment,0
2022/09/01 00:05,18015,804E4E800,18015,804E4E800,20295.14,US Dollar,20295.14,US Dollar,Reinvestment,0
2022/09/01 00:23,18015,804E4E800,18015,804E4E800,20.62,US Dollar,20.62,US Dollar,Reinvestment,0
2022/09/01 00:23,18015,804E4E800,18015,804E4E800,20.62,US Dollar,20.62,US Dollar,Reinvestment,0
2022/09/01 00:11,18015,804E4E800,245993,812569F40,4416.29,US Dollar,4416.29,US Dollar,Cheque,0
2022/09/01 00:21,18015,804E4E800,245993,812569F40,1874.99,US Dollar,1874.99,US Dollar,ACH,0
2022/09/01 00:29,18015,804E4E800,245993,812569F40,2977.95,US Dollar,2977.95,US Dollar,Wire,0
2022/09/01 00:16,17222,8040162D0,17222,8040162D0,97198.55,US Dollar,97198.55,US Dollar,Reinvestment,0
2022/09/01 00:16,17222,8040162D0,17222,8040162D0,20.0,US Dollar,20.0,US Dollar,Reinvestment,0
